iter	Passed	Remaining
0	1721	256461
1	4650	344135
2	5743	281428
3	6882	251220
4	8046	233341
5	9193	220646
6	10418	212842
7	11716	207975
8	12904	202177
9	14049	196699
10	15187	191918
11	16361	188153
12	17490	184322
13	18629	180976
14	19822	178405
15	21028	176115
16	22176	173496
17	23328	171077
18	24501	168931
19	25658	166783
20	28996	178119
21	30079	175010
22	31206	172313
23	32335	169762
24	33491	167455
25	34642	165219
26	35783	163014
27	36929	160905
28	38084	158904
29	39224	156896
30	40363	154945
31	41514	153086
32	42674	151300
33	43838	149567
34	44992	147832
35	46133	146088
36	47273	144376
37	48396	142643
38	49535	140986
39	50678	139365
40	51835	137805
41	52977	136228
42	54126	134686
43	55279	133173
44	56430	131672
45	57558	130131
46	58696	128632
47	59845	127172
48	61011	125758
49	62159	124319
50	63323	122921
51	64461	121485
52	65626	120109
53	66766	118695
54	67918	117313
55	69073	115943
56	70217	114564
57	71365	113200
58	72513	111843
59	73714	110572
60	74867	109232
61	76007	107882
62	77152	106544
63	78320	105243
64	79550	104028
65	80742	102763
66	81892	101448
67	83140	100257
68	84334	99001
69	85557	97780
70	86863	96650
71	88321	95681
72	89743	94660
73	91214	93679
74	92542	92542
75	93992	91519
76	95374	90420
77	96703	89264
78	98088	88155
79	99485	87049
80	100742	85817
81	101955	84548
82	103169	83281
83	104339	81980
84	105517	80689
85	106684	79393
86	107853	78100
87	109002	76797
88	110172	75511
89	111336	74224
90	112498	72938
91	113744	71708
92	114934	70443
93	116079	69153
94	117219	67864
95	118353	66573
96	119520	65304
97	120675	64032
98	121821	62756
99	122965	61482
100	124147	60230
101	125288	58959
102	126424	57689
103	127572	56426
104	128714	55163
105	129883	53913
106	131034	52658
107	132231	51423
108	133356	50161
109	134509	48912
110	135663	47665
111	136799	46414
112	137947	45168
113	139081	43920
114	140230	42678
115	141400	41444
116	142539	40203
117	143737	38979
118	144854	37735
119	145977	36494
120	147119	35259
121	148285	34032
122	149422	32799
123	150578	31572
124	151733	30346
125	152928	29129
126	154174	27921
127	155394	26708
128	156055	25404
129	157280	24197
130	158520	22991
131	159844	21796
132	161044	20584
133	162200	19367
134	163380	18153
135	164540	16938
136	165716	15724
137	166930	14515
138	168091	13302
139	169250	12089
140	170415	10877
141	171618	9668
142	172773	8457
143	173944	7247
144	175106	6038
145	176271	4829
146	177438	3621
147	178586	2413
148	179777	1206
149	180972	0
