iter	Passed	Remaining
0	2771	412913
1	3839	284116
2	4927	241458
3	6074	221701
4	7185	208390
5	8247	197948
6	9323	190468
7	10419	184948
8	11518	180459
9	12598	176374
10	13659	172603
11	14759	169734
12	15845	166984
13	16907	164246
14	17974	161767
15	19071	159725
16	20156	157691
17	21237	155739
18	22318	153878
19	23451	152432
20	24540	150749
21	25607	148989
22	26688	147369
23	27755	145716
24	28824	144123
25	29909	142644
26	31019	141311
27	32111	139912
28	33192	138491
29	34285	137142
30	35363	135749
31	36446	134394
32	38941	138064
33	40032	136582
34	41229	135466
35	42475	134505
36	43701	133466
37	44823	132111
38	45894	130621
39	46989	129222
40	48127	127949
41	49189	126486
42	50257	125059
43	51340	123683
44	52417	122306
45	53493	120941
46	54582	119617
47	55649	118256
48	56714	116901
49	57830	115661
50	58908	114352
51	59989	113057
52	61063	111758
53	62148	110485
54	63240	109234
55	66066	110897
56	67122	109516
57	68204	108185
58	69305	106894
59	70386	105580
60	71505	104327
61	72586	103026
62	73659	101720
63	74773	100476
64	75853	99193
65	76927	97907
66	78014	96644
67	79130	95421
68	80227	94180
69	81317	92933
70	82438	91727
71	83535	90497
72	84650	89289
73	85779	88097
74	86863	86863
75	87965	85650
76	89060	84434
77	90159	83224
78	91243	82003
79	92318	80778
80	93385	79550
81	94480	78349
82	95582	77156
83	96693	75973
84	97831	74812
85	98944	73633
86	100003	72416
87	101069	71208
88	102149	70012
89	103260	68840
90	104380	67675
91	105496	66508
92	106603	65337
93	107687	64154
94	108803	62991
95	109879	61807
96	110983	60640
97	112075	59468
98	113153	58291
99	114271	57135
100	115377	55975
101	116481	54814
102	117597	53660
103	118712	52507
104	119813	51348
105	120939	50201
106	122042	49045
107	123137	47886
108	124200	46717
109	125298	45563
110	126374	44401
111	127452	43242
112	128596	42106
113	129681	40952
114	130785	39804
115	131892	38658
116	134334	37889
117	135406	36720
118	136509	35561
119	137613	34403
120	138691	33240
121	139788	32082
122	140984	30947
123	142118	29798
124	143209	28641
125	144319	27489
126	145421	26336
127	146526	25184
128	147614	24030
129	148707	22878
130	149796	21726
131	150875	20573
132	151946	19421
133	153020	18271
134	154103	17122
135	155202	15976
136	156278	14829
137	157379	13685
138	158457	12539
139	159557	11396
140	160642	10253
141	161728	9111
142	162806	7969
143	163872	6828
144	164946	5687
145	166024	4548
146	167123	3410
147	168230	2273
148	169349	1136
149	170466	0
