iter	Passed	Remaining
0	849	126543
1	1624	120220
2	2513	123183
3	3299	120449
4	4112	119266
5	4860	116650
6	5576	113917
7	6290	111661
8	7012	109862
9	7711	107964
10	10039	126865
11	11176	128528
12	11876	125161
13	12641	122806
14	13340	120068
15	14171	118686
16	14879	116409
17	15634	114653
18	16379	112929
19	17097	111134
20	17883	109856
21	18607	108264
22	19341	106796
23	20055	105290
24	20872	104361
25	21587	102954
26	22289	101539
27	22980	100130
28	23689	98840
29	24380	97522
30	25070	96238
31	25774	95043
32	26484	93900
33	27175	92715
34	27866	91562
35	28579	90502
36	29283	89434
37	29990	88392
38	30701	87379
39	31409	86376
40	32107	85358
41	32811	84372
42	33573	83542
43	34269	82558
44	34965	81585
45	35668	80640
46	36368	79701
47	37061	78755
48	37780	77874
49	38469	76938
50	39161	76019
51	39856	75114
52	40554	74222
53	41243	73322
54	41948	72457
55	42633	71563
56	43328	70694
57	44051	69874
58	44777	69064
59	45473	68210
60	46173	67367
61	46862	66513
62	47560	65679
63	48249	64834
64	48957	64021
65	49655	63197
66	51789	64157
67	52433	63228
68	53118	62356
69	53812	61500
70	54513	60655
71	55221	59823
72	55920	58984
73	56623	58154
74	57321	57321
75	58012	56485
76	58705	55655
77	59410	54840
78	60120	54032
79	60822	53219
80	61524	52409
81	62228	51604
82	62991	50848
83	63695	50046
84	64396	49244
85	65090	48439
86	65781	47635
87	66491	46846
88	67193	46054
89	67888	45259
90	68585	44467
91	69278	43675
92	69993	42898
93	70691	42114
94	71394	41333
95	72074	40542
96	72786	39770
97	73493	38996
98	74198	38223
99	74883	37441
100	75570	36663
101	76260	35887
102	77024	35147
103	77742	34386
104	78425	33611
105	79128	32845
106	79841	32085
107	82035	31902
108	82648	31087
109	83314	30296
110	83997	29512
111	84688	28733
112	85389	27959
113	86086	27185
114	86787	26413
115	87481	25640
116	88166	24867
117	88871	24100
118	89539	23325
119	90226	22556
120	91024	21815
121	91751	21057
122	92449	20293
123	93151	19531
124	93893	18778
125	94585	18016
126	95272	17254
127	95960	16493
128	96647	15733
129	97343	14975
130	98051	14221
131	98756	13466
132	99434	12709
133	100124	11955
134	100813	11201
135	101501	10448
136	102190	9696
137	102890	8946
138	103585	8197
139	104289	7449
140	104982	6701
141	105670	5953
142	106362	5206
143	107052	4460
144	107738	3715
145	108434	2970
146	109123	2227
147	109812	1483
148	110505	741
149	111199	0
